"modelo","teste","estatistica","p_valor","resultado_5pct"
"FE estatico - base","Hausman FE vs RE",4.52376445132564,0.606171307865461,"Não rejeita H0"
"FE estatico - VC_AI","Hausman FE vs RE",23.5969540967686,0.00134082473281136,"Rejeita H0"
"FE estatico - VC_AI defasado","Hausman FE vs RE",16.4205919519453,0.0215396135152232,"Rejeita H0"
"FE dinamico - VC_AI","Hausman FE vs RE",33.3199836810972,5.39251680612704e-05,"Rejeita H0"
"FE dinamico - VC_AI defasado","Hausman FE vs RE",20.184423976675,0.00966038458924365,"Rejeita H0"
"FE estatico - base","Wooldridge autocorrelacao",87.0207215014197,1.59938168503706e-14,"Rejeita H0"
"FE estatico - VC_AI","Wooldridge autocorrelacao",71.4182015953067,1.05426848521459e-12,"Rejeita H0"
"FE estatico - VC_AI defasado","Wooldridge autocorrelacao",192.303986035214,7.22871735860074e-23,"Rejeita H0"
"FE dinamico - VC_AI","Wooldridge autocorrelacao",16.7428221071661,0.000101470368468175,"Rejeita H0"
"FE dinamico - VC_AI defasado","Wooldridge autocorrelacao",6.47750085127227,0.0128721011966882,"Rejeita H0"
"FE estatico - base","Wald/Breusch-Pagan heterocedasticidade",154.337146469322,9.35879451967825e-31,"Rejeita H0"
"FE estatico - VC_AI","Wald/Breusch-Pagan heterocedasticidade",101.474553118468,5.34957781920044e-19,"Rejeita H0"
"FE estatico - VC_AI defasado","Wald/Breusch-Pagan heterocedasticidade",102.365587219652,3.5005646191897e-19,"Rejeita H0"
"FE dinamico - VC_AI","Wald/Breusch-Pagan heterocedasticidade",326.978574923525,7.37589216755051e-66,"Rejeita H0"
"FE dinamico - VC_AI defasado","Wald/Breusch-Pagan heterocedasticidade",369.127822263412,7.45210749347187e-75,"Rejeita H0"
"FE estatico - base","Pesaran CD dependencia seccional",3.11731608452399,0.00182505780444555,"Rejeita H0"
"FE estatico - VC_AI","Pesaran CD dependencia seccional",0.823845973555904,0.410027081555443,"Não rejeita H0"
"FE estatico - VC_AI defasado","Pesaran CD dependencia seccional",1.47002270880021,0.141555603722616,"Não rejeita H0"
"FE dinamico - VC_AI","Pesaran CD dependencia seccional",1.64417161281035,0.100140758857296,"Não rejeita H0"
"FE dinamico - VC_AI defasado","Pesaran CD dependencia seccional",1.83535423819647,0.0664532195034932,"Não rejeita H0"
