"country","year","npl","nim","loans","credit_growth","vc_ai","log_vc_ai","lag_vc_ai","lag_log_vc_ai","gdp_growth","inflation","unemployment","covid","lag_npl","lag_nim","lag_credit","lag_gdp_growth","lag_inflation","lag_unemployment"
"Austria",2015,7.28175,2.28333333333333,160320.916666667,NA,98.449153,4.59964648842108,NA,NA,NA,0.8,6.1,0,NA,NA,NA,NA,NA,NA
"Austria",2016,5.667425,2.1475,160086.583333333,-0.146165165597534,28.4514725,3.38274390884764,98.449153,4.59964648842108,2.64883955600403,1,6.5,0,7.28175,2.28333333333333,NA,NA,0.8,6.1
"Austria",2017,3.955275,2.0275,162293.333333333,1.37847279519052,95.586797,4.57044205485868,28.4514725,3.38274390884764,2.62963873187516,2.2,5.9,0,5.667425,2.1475,-0.146165165597534,2.64883955600403,1,6.5
"Austria",2018,2.78075,2.1225,172713.083333333,6.42031917515609,23.548767,3.20066162894667,95.586797,4.57044205485868,3.83141762452108,2.1,5.2,0,3.955275,2.0275,1.37847279519052,2.62963873187516,2.2,5.9
"Austria",2019,2.148475,2.055,186276.25,7.85300476657578,82.688834,4.42710556357827,23.548767,3.20066162894667,2.79059040590406,1.5,4.8,0,2.78075,2.1225,6.42031917515609,3.83141762452108,2.1,5.2
"Austria",2020,1.869525,1.9325,196540.666666667,5.51031957464607,132.6402055,4.89515115520063,82.688834,4.42710556357827,-4.30783037917882,1.4,6,1,2.148475,2.055,7.85300476657578,2.79059040590406,1.5,4.8
"Austria",2021,1.69315,1.695,205555.916666667,4.58696419061704,654.897471,6.48600448252156,132.6402055,4.89515115520063,6.40093786635405,2.8,6.2,1,1.869525,1.9325,5.51031957464607,-4.30783037917882,1.4,6
"Austria",2022,1.640425,1.945,223040.833333333,8.50616073242034,411.243131,6.02161329908137,654.897471,6.48600448252156,9.38739532833848,8.6,4.8,0,1.69315,1.695,4.58696419061704,6.40093786635405,2.8,6.2
"Austria",2023,1.744575,2.395,235212.75,5.45725932097636,101.5797945,4.63064097864463,411.243131,6.02161329908137,5.41901692183724,7.7,5.1,0,1.640425,1.945,8.50616073242034,9.38739532833848,8.6,4.8
"Belgium",2015,4.517625,1.05333333333333,112385.166666667,NA,43.119653,3.7869053294405,NA,NA,NA,0.6,8.7,0,NA,NA,NA,NA,NA,NA
