"modelo","variavel","coeficiente","erro_padrao","estatistica","p_valor"
"FE estatico - base","credit_growth",-0.0568337460157658,0.0354474567188032,-1.60332365920115,0.11290521836474
"FE estatico - base","nim",2.1340580943992,2.11110498220162,1.01087255839529,0.315203018552131
"FE estatico - base","gdp_growth",-0.111211121796154,0.0249338798955967,-4.46024133676019,2.71373677182663e-05
"FE estatico - base","inflation",0.135019912310821,0.135969491907425,0.99301623045521,0.323772645419924
"FE estatico - base","unemployment",2.67078051802814,0.370819629775555,7.20237091991241,3.23795626995123e-10
"FE estatico - base","covid",-1.1305843382545,0.916834969562365,-1.23313832454948,0.221227609401589
"FE estatico - VC_AI","log_vc_ai",0.658145278203938,0.294614785915806,2.2339180165656,0.0284688131077129
"FE estatico - VC_AI","credit_growth",-0.10424390505072,0.0369996065165228,-2.81743280172908,0.00618494133736005
"FE estatico - VC_AI","nim",0.643956934148905,1.95211999798293,0.329875691460713,0.742413493376599
"FE estatico - VC_AI","gdp_growth",-0.146941895369918,0.0170407154827098,-8.62298860156496,7.76875013533948e-13
"FE estatico - VC_AI","inflation",0.10286063023061,0.116756098812128,0.880987214176472,0.381139264798812
"FE estatico - VC_AI","unemployment",2.6034651543251,0.3154512620542,8.25314546967251,3.93411436317411e-12
"FE estatico - VC_AI","covid",-2.25899603056344,0.789238908433985,-2.86224615439418,0.00544937523565819
"FE estatico - VC_AI defasado","lag_log_vc_ai",0.245957471494667,0.256946267969884,0.95723309561163,0.341566555174113
"FE estatico - VC_AI defasado","credit_growth",-0.111425562033906,0.0417735515361847,-2.66737105025384,0.00938583954509214
"FE estatico - VC_AI defasado","nim",-0.401476181764389,2.21001381244069,-0.181662295278149,0.856344446105765
"FE estatico - VC_AI defasado","gdp_growth",-0.139959977029144,0.0302872978727419,-4.62107836814012,1.58044558405259e-05
"FE estatico - VC_AI defasado","inflation",0.113120203746894,0.101650520119461,1.11283448047244,0.269381509263057
"FE estatico - VC_AI defasado","unemployment",2.34819882857743,0.410475422093326,5.72068070873083,2.1183273417902e-07
"FE estatico - VC_AI defasado","covid",-2.02963048023509,0.702033154333209,-2.8910749694761,0.00503670604820758
